Video ID,Video Title,Category ID,Channel Title,Description,Published Date
8UQK-UcRezE,Strawberry Fields Forever -  Restored HD Video,10,The Beatles,"THE BEATLES’ VIDEOS AND TOP HITS COME TOGETHER FOR THE FIRST TIME

All-New Editions of The Beatles 1 Pair Beautifully Restored Promotional Films and Videos with Brand New Stereo and Surround Audio Mixes 

Preorder your copy at http://www.thebeatles.com

Beatles 1+ Deluxe Edition Celebrates the Sight & Sound of The Beatles in 50 Films & Videos 

London – September 15, 2015 – After The Beatles stopped touring, and because travelling around the globe to promote new releases was impossible, the band increasingly made what could be described as “mini movies”. These pioneering promotional films and videos helped to define the way we have come to watch music, not least because The Beatles approached filming with the same ease and innovative spirit they brought to the recording studio, exploring new creative possibilities with infectious delight. Showcasing the band’s filmed work to accompany their 27 No.1, U.K. and U.S. singles, The Beatles 1 is newly restored and expanded in multiple configurations for global release on November 6 by Apple Corps Ltd/UMG.

The 27-track CD/DVD and CD/Blu-ray pairs beautifully restored videos for each song, with new stereo and 5.1 Dolby Digital and DTS HD surround audio mixes. The brand new Beatles 1+ celebrates their career in over 200 minutes through 50 promotional films and videos. This includes the 27 No.1s, with the restored videos, along with a second disc of 23 videos, including alternate versions, as well as rarely seen and newly restored films and videos; all include new audio mixes in deluxe CD/2-DVD and CD/2-Blu-ray packages. The 27-track audio CD is also being made available with new stereo mixes. A 2 LP, 180-gram vinyl package will follow.

The new editions of The Beatles 1 have been made possible following extensive research, and restoration of the original promo films, classic television appearances and other carefully selected videos spanning the band’s history. Apple Corps dug deep into The Beatles’ vaults to select a broad range of films and videos for their rarity, historical significance and quality of performance. An 18-person team of film and video technicians and restoration artists was assembled by Apple Corps to undertake painstaking frame-by-frame cleaning, colour-grading, digital enhancement and new edits that took months of dedicated, ‘round-the-clock work to accomplish.

The result is a visual run down of The Beatles’ number one records, as well as the additional tracks on the bonus disc of Beatles 1+ that show the band in previously unseen standards of clarity and quality; many of the films and videos have never before been commercially released, in whole or in part.

Beatles 1 and Beatles 1+ offers the restored films, including 35mm negatives scanned in 4K and digitally restored with new stereo and 5.1 surround audio remixes, produced from the original analogue tapes by the GRAMMY® winning team of Giles Martin with Sam Okell at Abbey Road Studios. For four of the videos, Paul McCartney and Ringo Starr have provided exclusive audio commentary and filmed introductions, respectively. The 1+ Deluxe Edition, presented in an expanded 124-page illustrated hardcover book includes ‘an appreciation’ of The Beatles’ ground-breaking films and videos by music journalist and author Mark Ellen and extensive, detailed track/video annotation by music historian and author Richard Havers. 

“These videos and films are spectacular reminders of the era we lived in. They also rock!” – Paul McCartney

""I think it’s really interesting to see the videos we made, some of them incredible and some of them really incredible.  How else would we have got to sit on a horse?"" – Ringo Starr

Between 1962 and 1970, The Beatles released 27 No.1 hit singles in the U.S. and the U.K. In 2000, these timeless songs were collected for The Beatles 1, which topped the charts in 35 countries and became that decade’s bestselling album worldwide. 15 years later, 1 is revisited for this entirely new, visually-inspired presentation. 

It’s The Beatles, as you’ve never seen them before. 

thebeatles.com
#THEBEATLES1

Available to pre-order now
1+ Deluxe 2Blu-ray/CD:   http://thebeatles1.lnk.to/DeluxeBluRay
1+ Deluxe 2DVD/CD:  http://thebeatles1.lnk.to/DeluxeDVD
CD/Blu-ray: http://thebeatles1.lnk.to/CDBlu-Ray
CD/DVD: http://thebeatles1.lnk.to/CDDVD
Blu-ray: http://thebeatles1.lnk.to/Blu-Ray
DVD:  http://thebeatles1.lnk.to/DVD
1CD:  http://thebeatles1.lnk.to/CD",2015-09-15T13:04:50Z
vefJAtG-ZKI,Yellow Submarine Original Trailer - 1968 (Beatles Official),10,The Beatles,"Yellow Submarine Feature Film Restored For May Release on DVD and Blu-ray
Once upon a time...or maybe twice...there was an unearthly paradise called Pepperland...

The Beatles' classic 1968 animated feature film, Yellow Submarine, has been digitally restored for DVD and Blu-ray release on May 28 (May 29 in North America). The film's songtrack album will be reissued on CD on the same date.

Currently out of print, the film has been restored in 4K digital resolution - all done by hand, frame by frame.

John Lasseter, Chief Creative Officer, Walt Disney and Pixar Animation Studios writes ""As a fan of animation and as a filmmaker, I tip my hat to the artists of Yellow Submarine, whose revolutionary work helped pave the way for the fantastically diverse world of animation that we all enjoy today.""",2012-03-20T15:08:19Z
Tb83rbm0IVI,The Beatles: Get Back | Official Trailer | Disney+,10,The Beatles,"The official trailer for #TheBeatlesGetBack is here! The Disney+ original docuseries, directed by
Peter Jackson, will be arriving on Disney+ just in time for the Thanksgiving holiday. Made
entirely from never-before-seen, restored footage, it provides the most intimate and honest
glimpse into the creative process and relationship between John, Paul, George, and Ringo ever
filmed.  Be sure to check them both out, and don’t forget to watch “The Beatles: Get Back” when
it rolls out over three days, November 25, 26, and 27, 2021, exclusively on Disney+.

Directed by three-time Oscar®-winning filmmaker Peter Jackson (“The Lord of the Rings” trilogy,
“They Shall Not Grow Old”), “The Beatles: Get Back” takes audiences back in time to the band’s
January 1969 recording sessions, which became a pivotal moment in music history. The
docuseries showcases The Beatles’ creative process as they attempt to write 14 new songs in
preparation for their first live concert in over two years. Faced with a nearly impossible deadline,
the strong bonds of friendship shared by John Lennon, Paul McCartney, George Harrison, and
Ringo Starr are put to the test. The docuseries is compiled from nearly 60 hours of unseen
footage shot over 21 days, directed by Michael Lindsay-Hogg in 1969, and from more than 150
hours of unheard audio, most of which has been locked in a vault for over half a century.
Jackson is the only person in 50 years to have been given access to this Beatles treasure trove,
all of which has now been brilliantly restored.  What emerges is an unbelievably intimate portrait
of The Beatles, showing how, with their backs against the wall, they could still rely on their
friendship, good humor, and creative genius. While plans derail and relationships are put to the
test, some of the world’s most iconic songs are composed and performed. The docuseries
features – for the first time in its entirety – The Beatles’ last live performance as a group, the
unforgettable rooftop concert on London’s Savile Row, as well as other songs and classic
compositions featured on the band’s final two albums, Abbey Road and Let It Be.

An exciting new collaboration between The Beatles and Jackson presented by The Walt Disney
Studios in association with Apple Corps Ltd. and WingNut Films Productions Ltd., “The Beatles:
Get Back” is directed by Peter Jackson, produced by Paul McCartney, Ringo Starr, Yoko Ono
Lennon, Olivia Harrison, Peter Jackson, Clare Olssen (“They Shall Not Grow Old”) and
Jonathan Clyde (“Eight Days a Week”), with Apple Corps’ Jeff Jones (“Eight Days a Week”) and
Ken Kamins (“The Hobbit” trilogy) serving as executive producers. Jabez Olssen (“Rogue One:
A Star Wars Story”) serves as the film’s editor, the music supervisor is Giles Martin
(“Rocketman”), Michael Hedges (“The Adventures of Tintin”) and Brent Burge (“The Hobbit”
trilogy) serve as the series re-recording mixers, and the music is mixed by Giles Martin and Sam
Okell (“Yesterday”).

#TheBeatlesGetBack",2021-10-13T13:00:34Z
385eTo76OzA,"Watch The Beatles rehearsing “Don’t Let Me Down” in ""The Beatles: Get Back""",10,The Beatles,"Watch The Beatles rehearsing “Don’t Let Me Down” in the Apple Studios, from Peter Jackson’s Original Docuseries ""The Beatles: Get Back"". 

Experience the three-part event on Disney+ starting tomorrow, November 25th.

#thebeatlesgetback",2021-11-24T19:10:41Z
KgFTpwB_uII,Now And Then – The Last Beatles Song (Short Film Trailer),10,The Beatles,"Now and Then's eventful journey to fruition took place over five decades and is the product of conversations and collaborations between the four Beatles that go on to this day. The long mythologised John Lennon demo was first worked on in February 1995 by Paul, George and Ringo as part of The Beatles Anthology project but it remained unfinished, partly because of the impossible technological challenges involved in working with the vocal John had recorded on tape in the 1970s. For years it looked like the song could never be completed. But in 2022 there was a stroke of serendipity. A software system developed by Peter Jackson and his team, used throughout the production of the documentary series Get Back, finally opened the way for the uncoupling of John’s vocal from his piano part. 

As a result, the original recording could be brought to life and worked on anew with contributions from all four Beatles. This remarkable story of musical archaeology reflects The Beatles’ endless creative curiosity and shared fascination with technology. It marks the completion of the last recording that John, Paul and George and Ringo will get to make together and celebrates the legacy of the foremost and most influential band in popular music history. 

Order/Listen to Now And Then: https://TheBeatles.lnk.to/NowAndThenYT 
Order/Listen to Red and Blue: https://TheBeatles.lnk.to/RedAndBlue2023YT
 
Video Director: Oliver Murray
Producers: Jonathan Clyde and Sophie Hilton
Original score: Paul Englishby

Watch more videos from The Beatles: https://thebeatles.lnk.to/YTPlaylists
Subscribe to The Beatles’ YouTube channel & ring the bell to never miss a new video: https://thebeatles.lnk.to/YTSignup
Sign up for The Beatles’ Official Email List: https://www.thebeatles.com/newsletter

Stream The Beatles:
🎙️ Apple Music: https://thebeatles.lnk.to/stream/Appl...
🎙️ Spotify: https://thebeatles.lnk.to/stream/Spotify
🎙️ Amazon Music: https://thebeatles.lnk.to/stream/Amaz...
🎙️ Pandora: https://thebeatles.lnk.to/stream/Pandora
🎙️ Tidal: https://thebeatles.lnk.to/stream/Tidal
🎙️ Deezer: https://thebeatles.lnk.to/stream/Deezer
🎙️ YouTube Music: https://thebeatles.lnk.to/stream/YouT...
 
Follow The Beatles:
⭐ https://www.thebeatles.com
⭐ https://www.instagram.com/thebeatles
⭐ https://www.facebook.com/thebeatles
⭐ https://www.tiktok.com/@thebeatles
⭐ https://twitter.com/thebeatles
 
#TheBeatles #NowAndThen #JohnLennon #PaulMcCartney #GeorgeHarrison #RingoStarr",2023-10-26T12:51:56Z
tHglEvMMaLU,Paperback Writer,10,The Beatles,#OTD The Beatles appear on the Ed Sullivan Show in a pre-recorded video filmed in Abbey Road Studios,2020-06-05T12:44:52Z
DGEX_7IqaC4,The Fool On The Hill,10,The Beatles,"October 30 / 31 1967 - Paul was in France filming 'The Fool On The Hill' sequence that was used in their film ""Magical Mystery Tour"".  ""I wandered off to France and did the 'Fool On The Hill' part one morning with a couple of mates.  It wasn't quite ""union"" - you were supposed to take millions of cameramen, but we didn't want to do that...""",2011-10-31T16:27:47Z
nSrCk1icisI,Watch the first clip from The Beatles: Get Back - which premieres on Disney+ from November 25,10,The Beatles,"The Disney+ original docuseries, directed by Peter Jackson, will be arriving on Disney+ just in time for the Thanksgiving holiday. Made entirely from never-before-seen, restored footage, it provides the most intimate and honest glimpse into the creative process and relationship between John, Paul, George, and Ringo ever filmed.  “The Beatles: Get Back” rolls out over three days, November 25, 26, and 27, 2021, exclusively on Disney+.

Read the story at https://thebeatles.com/beatles-get-back-disney-original-documentary-series-directed-peter-jackson-debut-exclusively-disney

Disney+:  https://www.disneyplus.com/series/the-beatles-get-back/7DcWEeWVqrkE

Directed by three-time Oscar®-winning filmmaker Peter Jackson (“The Lord of the Rings” trilogy, “They Shall Not Grow Old”), “The Beatles: Get Back” takes audiences back in time to the band’s January 1969 recording sessions, which became a pivotal moment in music history. The docuseries showcases The Beatles’ creative process as they attempt to write 14 new songs in preparation for their first live concert in over two years. Faced with a nearly impossible deadline, the strong bonds of friendship shared by John Lennon, Paul McCartney, George Harrison, and Ringo Starr are put to the test. The docuseries is compiled from nearly 60 hours of unseen footage shot over 21 days, directed by Michael Lindsay-Hogg in 1969, and from more than 150 hours of unheard audio, most of which has been locked in a vault for over half a century. 

Jackson is the only person in 50 years to have been given access to this Beatles treasure trove, all of which has now been brilliantly restored.  What emerges is an unbelievably intimate portrait of The Beatles, showing how, with their backs against the wall, they could still rely on their friendship, good humor, and creative genius. While plans derail and relationships are put to the test, some of the world’s most iconic songs are composed and performed. The docuseries features – for the first time in its entirety – The Beatles’ last live performance as a group, the unforgettable rooftop concert on London’s Savile Row, as well as other songs and classic compositions featured on the band’s final two albums, Abbey Road and Let It Be.
#thebeatlesgetback",2021-11-12T14:25:00Z
ep7SqGjbQa8,Let It Be - 1s Preview,10,The Beatles,"""The Beatles added to the gaiety of nations and they raised the sum of human happiness. You can watch this footage over and over again and never tire of remembering why."" - Mark Ellen 


ALL-NEW EDITIONS OF THE BEATLES 1 VIDEO COLLECTION PAIR BEAUTIFULLY RESTORED PROMOTIONAL FILMS AND VIDEOS WITH BRAND NEW STEREO SURROUND AUDIO MIXES. 


Explore The Beatles 1 Blu-ray/DVD at thebeatles.com

Available to pre-order:
1+ Deluxe 2Blu-ray/CD: http://thebeatles1.lnk.to/DeluxeBluRay
1+ Deluxe 2DVD/CD: http://thebeatles1.lnk.to/DeluxeDVD
CD/Blu-ray: http://thebeatles1.lnk.to/CDBlu-Ray
CD/DVD: http://thebeatles1.lnk.to/CDDVD
Blu-ray: http://thebeatles1.lnk.to/Blu-Ray
DVD: http://thebeatles1.lnk.to/DVD
1CD: http://thebeatles1.lnk.to/CD",2016-05-23T15:04:35Z
ssBUgHLdrCA,Here Comes the Sun,10,The Beatles,"Now available from iTunes, each album download will benefit the George Harrison Fund for UNICEF - helping to provide immediate emergency relief for children in famine and drought-stricken regions in the Horn of Africa. Order the album HERE: http://bit.ly/r7kjrp
Watch the entire historic concert free on TheConcertForBangladesh.com, itunes.com/TheBeatles and GeorgeHarrison.com between July 29, 11:59 p.m. EDT and August 1, 11:59 p.m. EDT.",2011-07-29T20:28:41Z
DvYhIotxgOA,Michelle,10,The Beatles,On this day - 3rd November 1965 - Michelle was recorded at Abbey Road studios.,2011-11-03T18:29:29Z
mVsiIxE_6OM,The Long And Winding Road - 1s Preview,10,The Beatles,"""Because they broke up in 1970 – officially in April when the oldest, Ringo, was 29 and George had just turned 27 – our mental image of them has never aged, frozen forever in sound and vision, a shorthand for eternal youth."" - Mark Ellen


ALL-NEW EDITIONS OF THE BEATLES 1 VIDEO COLLECTION PAIR BEAUTIFULLY RESTORED PROMOTIONAL FILMS AND VIDEOS WITH BRAND NEW STEREO SURROUND AUDIO MIXES. 


Explore The Beatles 1 Blu-ray/DVD at thebeatles.com

Available to pre-order:
1+ Deluxe 2Blu-ray/CD: http://thebeatles1.lnk.to/DeluxeBluRay
1+ Deluxe 2DVD/CD: http://thebeatles1.lnk.to/DeluxeDVD
CD/Blu-ray: http://thebeatles1.lnk.to/CDBlu-Ray
CD/DVD: http://thebeatles1.lnk.to/CDDVD
Blu-ray: http://thebeatles1.lnk.to/Blu-Ray
DVD: http://thebeatles1.lnk.to/DVD
1CD: http://thebeatles1.lnk.to/CD",2015-11-03T14:31:03Z
W4L-2i7cmcM,GET THE BEATLES’ REVOLVER INTO YOUR LIFE WITH THE NEWLY MIXED AND EXPANDED SPECIAL EDITION,10,The Beatles,"Turn off your mind, relax and float downstream… 

On 28th October, 'Revolver' will be released worldwide in a range of beautifully presented, newly-mixed and expanded Special Edition packages.

The new stereo mix, sourced directly from the original four-track master tapes, is brought forth in stunning clarity with the help of cutting edge de-mixing technology developed by Peter Jackson’s WingNut Films Productions Ltd.

Showcasing GRAMMY-winning original album artwork created by Klaus Voormann, the Super Deluxe CD and vinyl house a beautiful book featuring Paul McCartney’s foreword, an introduction by Giles Martin, an enlightening essay by Questlove, and insightful chapters by Kevin Howlett.

Available across 5CD/4LP Super Deluxe, 2CD Deluxe, Picture Disk, 1LP, 1CD, Download and Streaming. Dolby Atmos Mixes + original mono mix accompany never-before-released session recordings and demos, plus the “Paperback Writer” and “Rain” EP.

Pre-order now: https://TheBeatles.lnk.to/Revolver2022",2022-09-26T16:25:16Z
uOlwwoZLoKE,Yellow Submarine US Theatrical Trailer - 2018 (Beatles Official),10,The Beatles,"THE BEATLES’ YELLOW SUBMARINE 
IN THEATERS ACROSS NORTH AMERICA THIS JULY TO CELEBRATE THE 50TH ANNIVERSARY

Restored 4K Theatrical Version With Remixed 5.1 Stereo Surround Sound 

Once upon a time…or maybe twice…there was an unearthly paradise called Pepperland…

NEW YORK / LONDON / LOS ANGELES – APRIL 03, 2018 – Abramorama announced today a deal with Apple Corps Ltd. and Universal Music Group (UMG) to theatrically release The Beatles’ classic 1968 animated feature film, Yellow Submarine, across North America this July in celebration of its 50th anniversary. Abramorama, Apple Corps Ltd. and UMG have teamed to give Beatles fans of all ages the opportunity to come together and share in this visually stunning movie and soundtrack.  Abramorama originally partnered with Apple Corps, Imagine Entertainment, White Horse Pictures, StudioCanal and UMG’s Polygram Entertainment on the Ron Howard documentary The Beatles:  Eight Days a Week – The Touring Years. Abramorama has a proven track record in the music-driven film space, partnering numerous times with Neil Young, Pearl Jam and Green Day and now once again with Apple Corps Ltd.

Yellow Submarine was restored in 4K digital resolution by Paul Rutan Jr. and his team of specialists at Triage Motion Picture Services and Eque Inc.  The film’s songs and score were remixed in 5.1 stereo surround sound at UMG’s Abbey Road Studios by music mix engineer Peter Cobbin. Due to the delicate nature of the hand-drawn original artwork, no automated software was used in the digital clean-up of the film’s restored photochemical elements.  This was all done by hand, frame by frame. 

Richard Abramowitz, CEO of Abramorama said, “We’re thrilled to have the privilege of bringing Yellow Submarine back to the big screen so that 3 generations of happy Beatles fans can enjoy the ground-breaking animation and classic tunes and that have long been part of our collective cultural DNA.”

Directed by George Dunning, and written by Lee Minoff, Al Brodax, Jack Mendelsohn and Erich Segal, Yellow Submarine began its voyage to the screen when Brodax, who had previously produced nearly 40 episodes of ABC’s animated Beatles TV series, approached The Beatles’ manager Brian Epstein with a unique vision for a full-length animated feature.  

Yellow Submarine, based upon a song by John Lennon and Paul McCartney, is a fantastic tale brimming with peace, love, and hope, propelled by Beatles songs, including “Eleanor Rigby,” “When I’m Sixty-Four,” “Lucy in the Sky With Diamonds,” “All You Need Is Love,” and “It’s All Too Much.”  When the film debuted in 1968, it was instantly recognized as a landmark achievement, revolutionizing a genre by integrating the freestyle approach of the era with innovative animation techniques. 

Inspired by the generation’s new trends in art, the film resides with the dazzling Pop Art styles of Andy Warhol, Martin Sharp, Alan Aldridge and Peter Blake. With art direction and production design by Heinz Edelmann, Yellow Submarine is a classic of animated cinema, featuring the creative work of animation directors Robert Balser and Jack Stokes with a team of animators and technical artists.

Information on local screenings can be found here:  http://www.yellowsubmarine.film/

© Subafilms Ltd 1968",2018-04-03T14:51:13Z
Cmqd6PYAvJ8,The Beatles - Let It Be | Special Edition Releases [Official Trailer],10,The Beatles,"The Beatles’ Let It Be Special Edition now available: https://TheBeatles.lnk.to/LetItBe2021

For more information: https://www.thebeatles.com

This fall, The Beatles invite everyone everywhere to get back to the chart-topping 1970 album, Let It Be.

Experience New Mixes in Stereo, 5.1 Surround, Dolby Atmos and explore never before released session recordings, rehearsals & studio Jams;  plus the previously unreleased 1969 Get Back LP Mix by Glyn Johns.

Presented in Special edition packages; Super deluxe 5CD + Blu-ray set, super deluxe 4LP + 12” EP vinyl, deluxe 2CD, standard CD, limited edition picture disc and standard 1LP vinyl, digital & streaming.

Stream:
“Let It Be” (2021 Stereo Mix): https://TheBeatles.lnk.to/LetItBe2021StereoMix
“Don’t Let Me Down” (First Rooftop Performance): https://TheBeatles.lnk.to/DontLetMeDown2021
“For You Blue” (Get Back LP Mix): https://TheBeatles.lnk.to/ForYouBlue2021  
“Get Back” (Take 8): https://TheBeatles.lnk.to/GetBackTake8
“One After 909” (Take 3): https://TheBeatles.lnk.to/OneAfter909Take3
“I Me Mine” (1970 Glyn Johns Mix): https://TheBeatles.lnk.to/IMeMine1970Mix
“Across The Universe” (2021 Mix): https://TheBeatles.lnk.to/AcrossTheUniverse2021Mix

Subscribe to The Beatles on YouTube https://thebeatles.lnk.to/subscribe

#TheBeatles #LetItBe #OfficialTrailer #SpecialEditionReleases #JohnLennon #PaulMcCartney #GeorgeHarrison #RingoStarr",2021-08-26T13:03:44Z
sa3948JzWCc,The Inner Light,10,The Beatles,"The Material World Foundation, created by George Harrison in 1973, is today donating $500,000 to the MusiCares COVID-19 Relief Fund, Save the Children, and Medecins Sans Frontieres (Doctors Without Borders) charities, which are providing much needed aid and care during this COVID-19 pandemic.
http://materialworldfoundation.com

WITHOUT GOING OUT OF MY DOOR, I CAN KNOW ALL THINGS OF EARTH.
WITHOUT LOOKING OUT OF MY WINDOW, I COULD KNOW THE WAYS OF HEAVEN.

Olivia Harrison said, ""These lyrics sung by George are a positive reminder to all of us who are isolating, quarantined or respecting the request to stay in our homes. Let’s get and stay connected at this difficult time.  There are things we can do to help and we invite you to share your Inner Light.""

The Inner Light Challenge:
Material World Foundation will donate another $1 (up to $100,000) for every one of you who shares their own ""Inner Light"" moment on social media using the hashtag #innerlight2020 

This can be a verse, a chorus, or a line from the song, sing it, play it, hum it, strum it, paint it, knit it, chant it, plant it, pray or meditate and post it to social media. 

For more information: http://materialworldfoundation.com

Remember to hashtag #innerlight2020

The Inner Light (Remastered 2009) - Performed by The Beatles
℗ 2009 Calderstone Productions Limited (a division of Universal Music Group)
Producer: George Martin
Composer Lyricist: George Harrison",2020-03-26T16:50:55Z
FvR2_CCoX60,Let It Be Official Trailer,10,The Beatles,"See The Beatles like never before.
Let it Be, fully restored for the first time, is streaming May 8 only on @DisneyPlus.",2024-04-30T01:03:41Z
